,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
720,Android library that provides access to model of application is,Easy,1,Evaluation-android,c) android.app,a) android.opengl,b) android.content,c) view,d) android.database
721,"In android emulator mode, left-hand side of smartphone area elements is called",Easy,1,Evaluation-android,a) palette,a) palette,b) widgets,c) design,d) button
722,Broadcast of device reboot is,Hard,1,Evaluation-android,b) android.intent.action.REBOOT,a) android.intent.action.BATTERY_LOW,b) android.intent.action.REBOOT,c) android.intent.action.BATTERY_CHANGED,d) android.intent.action.CALL
723,Android component that shows part of an activity on screen is called,Expert,1,Evaluation-android,b) fragment,a) intent,b) fragment,c) view,d) manifest
724,Layout or design of an android application is saved in,Easy,1,Evaluation-android,d) .xml file,a) .text file,b) .java file,c) .dex file,d) .xml file
725,"For specialized layout elements, palette element used is",Hard,1,Evaluation-android,a) custom,a) custom,b) textfields,c) containers,d) widgets
726,Method that is called to clean up any resources used by services is,Hard,1,Evaluation-android,c) onDestroy(),a) stopSelf(),b) onStop(),c) onDestroy(),d) stopService()
727,UI design hierarchy and individual design elements can be seen using,Hard,1,Evaluation-android,c) component tree,a) properties,b) terminal,c) component tree,d) layout
728,Multiple inheritance concept is indirectly used by using,Expert,1,Evaluation-android,c) sub class,a) public class,b) child class,c) sub class,d) super class
729,Android library that provides access to graphics is,Medium,1,Evaluation-android,b) android.opengl,a) android.content,b) android.opengl,c) android.app,d) android.database
730," In android Studio, TODO tab is actually used for",Expert,1,Evaluation-android,a) comments,a) comments,b) storage,c) classes,d) function
731,Android component that shows part of an activity on screen is called,Easy,1,Evaluation-Android,b) fragment,a) intent,b) fragment,c) view,d) manifest
732,Layout or design of an android application is saved in,Medium,1,Evaluation-Android,d) .xml file,a) .text file,b) .java file,c) .dex file,d) .xml file
733,"For specialized layout elements, palette element used is",Hard,1,Evaluation-Android,a) custom,a) custom,b)textfields,c) containers,d) widgets
734,Method that is called to clean up any resources used by services is,Expert,1,Evaluation-Android,(c)onDestroy(),(a)stopSelf(),(b)onStop(),(c)onDestroy(),(d)stopService()
735,UI design hierarchy and individual design elements can be seen using,Medium,1,Evaluation-Android,b)component tree,a)properties,b)component tree,c)layout,d)terminal
736,Multiple inheritance concept is indirectly used by using,Easy,1,Evaluation-Android,c)sub class,a)public class,b)child class,c)sub class,d)super class
737,Android library that provides access to graphics is,Medium,1,Evaluation-Android,b)android.opengl,a)android.content,b)android.opengl,c)android.app,d)android.database
738,"In android Studio, TODO tab is actually used for",Hard,1,Evaluation-Android,a)comments,a)comments,b)storage,c)classes,d)function
739,"In android, logcat is also referred as",Easy,1,Evaluation-Android,c)Console,a)Verbos,b)Info,c)Console,d)Method
740,One of option that is not part of palette elements is,Medium,1,Evaluation-Android,d)default,a)layouts,b)containers,c)date and time,d)default
741,"By default in android studio during app development, file that holds information about SDK, versions, application Id, etc. is",Easy,1,Evaluation-Android,a)Build.gradle,a)Build.gradle,b)res/values,c)res/layout,d)AndroidManifest.xml
742,"In android, right way to declare a package is",Medium,1,Evaluation-Android,d)package com.newpak,a)package com-newspeak,b)package com+newpak,c)package com/newpak,d)package com.newpak
743,Android library that provides text manipulation and rendering of application is,Easy,1,Evaluation-Android,c)android.text,a)android.view,b)android.webkit,c)android.text,d)android.os
744,"One of application component, that manages interaction between operating system and android os is called",Expert,1,Evaluation-Android,a)Broadcast Receivers,a)Broadcast Receivers,b)Content Providers,c)Activities,d)Services
745,Android library that provides access to standard functions of an operating system is,Hard,1,Evaluation-Android,a)android.os,a)android.os,b)android.text,c)android.view,d)android.webkit
746,What method you should override to use Android menu system?,Medium,1,Evaluation-Android,a)onCreateOptionsMenu(),a)onCreateOptionsMenu(),b)onCreateMenu(),c)onMenuCreated(),d)onCreateContextMenu()
747,What Activity method you use to retrieve a reference to an Android view by using the id attribute of a resource XML?,Medium,1,Evaluation-Android,b)findViewById(int id),a)findViewByReference(int id);,b)findViewById(int id),c)retrieveResourceById(int id),d)findViewById(String id)
748,Which of the following is not an Android component (i.e. a point from which the system can enter your application)?,Easy,1,Evaluation-Android,c)Layout,a)Service,b)Activity,c)Layout,d)Content Provider
749,"During an Activity life-cycle, what is the first callback methodinvoked by the system?",Medium,1,Evaluation-Android,c)onCreate(),a)onStop(),b)onStart(),c)onCreate(),d)onRestore()
750,Which configuration file holds the permission to use the internet?,Easy,1,Evaluation-Android,d)Manifest file,a) Layout file,b)Property file,c)Java source file,d)Manifest file
751,Which of the following is NOT a valid usage for Intents?,Medium,1,Evaluation-Android,d)Activate a SQLite DB Connection.,a)Activate and Activity,b)Activate a Service,c)Activate a Broadcast receiver,d)Activate a SQLite DB Connection.
752,Which of the following is not a valid Android resource file name?,Hard,1,Evaluation-Android,b)myLayout.xml,a)mylayout.xml,b)myLayout.xml,c)my_layout.xml,d)mylayout1.xml
753,Which of these is not defined as a process state?,Easy,1,Evaluation-Android,a)Non-visible,a)Non-visible,b)Visible,c)Foreground,d)Background
754,What is the name of the folder that contains the R.java file?,Expert,1,Evaluation-Android,d)gen,a)src,b)res,c)bin,d)gen
755,What is a correct statement about an XML layout file?,Easy,1,Evaluation-Android,b)A file used to draw the content of an Activity,a)A layout PNG image file,b)A file used to draw the content of an Activity,c)A file that contains all application permission information,d)A file that contains a single activity widget.
756,What does the src folder contain?,Medium,1,Evaluation-Android,d)Java source code files,a)Image and icon files,b)XML resource files,c)The application manifest file,d)Java source code files
757,What is the parent class of all Activity widgets?,Hard,1,Evaluation-Android,c)View,a)ViewGroup,b)Layout,c)View,d)Widget
758,What is the name of the class used by Intent to store additional information?,Easy,1,Evaluation-Android,c)Bundle,a)Extra,b)Parcelable,c)Bundle,d)DataStore
759,Which is not included in the Android application framework?,Medium,1,Evaluation-Android,c)DialerManager,a)WindowManager,b)NotificationManager,c)DialerManager,d)PackageManager
760,What Eclipse plugin is required to develop Android application?,Easy,1,Evaluation-Android,c)Android Development Tools,"a)J2EE
",b)Android Software Development Kit,c)Android Development Tools,d)Web Development Tools
761,Which of these files contains text values that you can use in your application?,Easy,1,Evaluation-Android,d)res/values/strings.xml,a)AndroidManifest.xml,b)res/Text.xml,c)res/layout/Main.xml,d)res/values/strings.xml
762,What does the Android project folder “res/” contain?,Medium,1,Evaluation-Android,b)Resource files,a)Java Activity classes,b)Resource files,c)Java source code,d)Libraries
763,Which of the following is a Java call-back method invoked when a view is clicked?,Easy,1,Evaluation-Android,d)OnClickListener,a)Detector,b)OnTapListener,c)OnClickDetector,d)OnClickListener
764,Which of the following is not an Activity lifecycle call-back method?,Easy,1,Evaluation-Android,d)onBackPressed,a)onStart,b)onCreate,c)onPause,d)onBackPressed
765,Which method is used to close an activity?,Easy,1,Evaluation-Android,b)Finish( ),"a)Destroy( )
",b)Finish( ),c)Stop( ),d)Close( )
766,Which of the following Activity life-cycle methods is called once the activity is no longer visible?,,1,Evaluation-Android,a)onStop,a)onStop,b)onPause,c)onDestroy,d)onHide
767,Which of the following is a correct Android Manifeststatement?,Easy,1,Evaluation-Android,d)<uses-permission android:name =”android. permission .Internet”/>,a)<uses-permission android:name =”android.Internet”/>,b)<uses-permission android:name =”android.Internet”></uses-permission>,c)<uses-permission android:name =”android.permission.Internet”>,d)<uses-permission android:name =”android. permission .Internet”/>
768,Which of the following is not a ContentProvider provided natively by Android?,Medium,1,Evaluation-Android,d)The application list,a)The contacts list,b)The telephone log,c)The bookmarks,d)The application list
769,Which of the following is incorrect about the LogCat tool?,Easy,1,Evaluation-Android,"d)Only one of your application can create log entries, and it should be component class",a)A LogCat view is available as part of the ADT plugin of Eclipse,"b)You can create a log in your application using Log.v(String, String)",c)Each log message has a tag,"d)Only one of your application can create log entries, and it should be component class"
770,Which of the following information is not included in the Manifest file?,Hard,1,Evaluation-Android,d)The handset model compatible with your application.,a)The activities contained in the application,b)The permissions required by the application,c)The application’s minimum SDK version required.,d)The handset model compatible with your application.
771,Which method should you use to start a sub-activity?,Medium,1,Evaluation-Android,b)startActivityForResult(Intent intent),a)startActivity(Intent intent),b)startActivityForResult(Intent intent),c)startService(Intent intent),d)startSubActivity(Intent intent)
772,Which package of the following does not have classes needed for Android network connections?,,1,Evaluation-Android,c)android.location,a)java.net,b)org.apache.http,c)android.location,d)android.net
773,Which of the following tools creates certificates for signing Android applications?,Medium,1,Evaluation-Android,c)keytool,a)adb,b)logcat,c)keytool,d)certgen
774,Which manifest file permission you should add to allow your application to read the device’s address book?,Easy,1,Evaluation-Android,d)READ_CONTACTS,a)READ_ADDRESS_DATA,b)READ_PHONE_STATE,c)READ_PHONE_CONTACTS,d)READ_CONTACTS
775,You can create a custom view by extending class:,Expert,1,Evaluation-Android,c)android.view.View,a) android.widget.View,b)android.widget.LinearLayout,c)android.view.View,d)android.content.Context
776,In which Activity life-cycle method you should do all of your normal static set up such as: creating views and bind data to lists?,Easy,1,Evaluation-Android,c)onCreate(),a)onResume(),b)onStart(),c)onCreate(),d)onPause()
777,Which of the following lines of code starts activity Activity2 from a current activity Activity1?,Easy,1,Evaluation-Android,"d)Intent intent = new Intent(this,Activity2.class);startActivity(intent);","a)Intent intent = new Intent(this,new Activity2()); startActivity(intent);",b)Intent intent = new Intent(new Activity2());startActivity(intent);,"c)Intent intent = new Intent (Activity1.class,Activity2.class);startActivity(intent);","d)Intent intent = new Intent(this,Activity2.class);startActivity(intent);"
778,Which of the following methods is called in an Activity when another activity gets into the foreground?,Expert,1,Evaluation-Android,b)onPause( ),a)onStop( ),b)onPause( ),c)onDestroy( ),d)onExit( )
779,What is not true about the AndroidManifest.xml file?,Easy,1,Evaluation-Android,a)It declares the views used within the application,a)It declares the views used within the application,b)It declares user permissions the application requires,c)It declares application components,d)It declares hardware and software features used within the application
780,"If your application is throwing exception android.content.ActivityNotFoundException, how to fix it?",Expert,1,Evaluation-Android,d)Add the activity to the AndroidManifest,a)Create a new activity Java sub-class.,b)Rename your activity,c)Create the activity layout,d)Add the activity to the AndroidManifest
781,Which of the following you cannot achieve by creating your own View sub-classes?,Hard,1,Evaluation-Android,c)Specify when to destroy an activity and all its views.,a)Create a completely new customized View type.,b)Combine a group of View components into a new single component.,c)Specify when to destroy an activity and all its views.,d)Override the way that an existing component is displayed on the screen.
782,What are the main two types of thread in Android?,Medium,1,Evaluation-Android,a)Main thread and worker threads.,a)Main thread and worker threads.,b)Main thread and UI thread.,c)Activities and services.,d)Main thread and background process.
783,Which of the following AsyncTask methods is NOT executed on the UI thread?,Medium,1,Evaluation-Android,c)publishProgress(),a)onPreExecute(),b)onPostExecute(),c)publishProgress(),d)onProgressUpdate()
784,Which of the following is a NOT valid form of notification invoked by the NotificationManager?,Easy,1,Evaluation-Android,d)A SMS sent.,a)A Flashing LED.,b)A persistent icon in the status bar.,c) A sound played,d)A SMS sent.
785,Which of the following a Notification object must contain? (Choose three),Hard,1,Evaluation-Android,a)A small icon.,a)A small icon.,b)A detail text.,c)A notification sound.,d)A title.
786,A type of service provided by android that allows sharing and publishing of data to other applications is,Expert,1,Evaluation-Android,b)Content Providers,a)View System,b)Content Providers,c)Activity Manager,d)Notifications Manager
787,"Android library that provides access to UI pre-built elements such as buttons, lists, views etc. is",Easy,1,Evaluation-Android,d)android.webkit,a)android.text,b)android.os,c)android.view,d)android.webkit
788,Android component that manages app's configuration file is called,Medium,1,Evaluation-Android,a)manifest,a)manifest,b)fragment,c)view,d)intent
789,Tab that shows system and error messages is,Easy,1,Evaluation-Android,b)messages,a)terminal,b)messages,c)TODO,d)comments
790,"In android studio, tab in which memory usage of app is shown is called",Easy,1,Evaluation-Android,b)memory,a)CPU,b)memory,c)ADB logs,d)logcat
791,"In android studio, service that provides client-server interface is",Easy,1,Evaluation-Android,c)startService(),a)bindService(),b)onStart(),c)startService(),d)onCreate()
792,"To generate custom intents in android, method is used is",Hard,1,Evaluation-Android,c)broadcastIntent(),a)broadcastCreate(),b)broadcastReceive(),c)broadcastIntent(),d)broadcastStart()
793,"Android library that provides access to content, its publishing and messaging among app components is",Expert,1,Evaluation-Android,d)android.content,a)android.app,b)android.database,c)android.opengl,d)android.content
794,Broadcast that displays information of low battery,Easy,1,Evaluation-Android,d)android.intent.action.BATTERY_LOW,a)android.intent.action.REBOOT,b)android.intent.action.BATTERY_CHANGED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
795,"In android studio, callback that is when activity is no longer visible is",Medium,1,Evaluation-Android,b)onStop,a)onDestroy,b)onStop,c)onRestart,d)onResume
796,A type of layout element that allows its children relative position depiction is,Easy,1,Evaluation-Android,a)RelativeLayout,a)RelativeLayout,b)TextviewLayout,c)LinearLayout,d)ConstraintLayout
797,To create a unit of code within a method signature that can be extend or shrink is enclosed by,Expert,1,Evaluation-Android,b){},a)[],b){},c)(),d)||
798,Required android tools for development is called,Easy,1,Evaluation-Android,d)SDK,a)APK,b)JDK,c)IDE,d)SDK
799,Android sizes fonts of mobile (currently using app) using unit of measurement,Hard,1,Evaluation-Android,a)SP,a)SP,b)DP,c)CP,d)GP
800,Broadcast of call to someone targeted by data is,Expert,1,Evaluation-Android,b)android.intent.action.CALL,a)android.intent.action.BUG_REPORT,b)android.intent.action.CALL,c)android.intent.action.REBOOT,d)android.intent.action.BATTERY_CHANGED
801,Tab that navigate back to project explorer is,Easy,1,Evaluation-Android,a)Project,a)Project,b)Favorites,c)Build variants,d)Structure
802,Tab that shows completed events logs is,Easy,1,Evaluation-Android,a)event log,a)event log,b)terminal,c)messages,d)TODO
803,"A part of android system, DVM is actually a",Hard,1,Evaluation-Android,b)software,a)server,b)software,c)hardware,d)firmware
804,Broadcast of pressing call button to call someone is,Easy,1,Evaluation-Android,a)android.intent.action.CALL_BUTTON,a)android.intent.action.CALL_BUTTON,b)android.intent.action.BATTERY_CHANGED,c)android.intent.action.CALL,d)android.intent.action.REBOOT
805,Android is actually using whole bunch of,Medium,1,Evaluation-Android,c)Java code,a)Python code,b)C code,c)Java code,d)C sharp code
806,Most usable area of android studio is,Medium,1,Evaluation-Android,d)editor,a)menu bar,b)navigation bar,c)tool bar,d)editor
807,"In android studio, callback that is called when activity is visible is",Easy,1,Evaluation-Android,d)onStart,a)onCreate,b)onDestroy,c)onStop,d)onStart
808,Broadcast of changed date is,Easy,1,Evaluation-Android,a)android.intent.action.DATE_CHANGED,a)android.intent.action.DATE_CHANGED,b)android.intent.action.BATTERY_CHANGED,c)android.intent.action.CALL,d)android.intent.action.REBOOT
809,Android library that provides access to database is,Hard,1,Evaluation-Android,a)android.database,a)android.database,b)android.content,c)android.app,d)android.opengl
810,How you can share code and resources between modules ?,Easy,1,Evaluation-Android,b)using library,a)uing APK,b)using library,c) using SDK,d) None
811,Which rectangle box simply responds to the user's actions?,Easy,1,Evaluation-Android,a) View,a) View,b) LayOut,c)both,d) None
812,Which in the below is under the view action?,Easy,1,Evaluation-Android,d)all of the above,a)EditText,b)Button,c)CheckBox,d)all of the above
813,which defines the visual structure for a user interface?,Easy,1,Evaluation-Android,b) LayOut,a) View,b) LayOut,c)both,d) None
814,Declare UI elements in XML belongs under which user interface?,Easy,1,Evaluation-Android,b) LayOut,a) View,b) LayOut,c)both,d) None
815,Which xml file  must  have in every app project?,Easy,1,Evaluation-Android,b)AndroidManifest,a) Android object,b)AndroidManifest,c) Android bin,d) none
816,Which  file describes essential information about your app to the Android build tools?,Medium,1,Evaluation-Android,b)Manifest,a) object,b)Manifest,c)bin ,d) exe file
817,Testing in the Emulator you have to create..,Medium,1,Evaluation-Android,a)AVD,a)AVD,b)SDK,c)APK,d)none
818,What is an activity in Android?,Medium,1,Evaluation-Android,a) performs actions ,a) performs actions ,b) Manage Application ,c) Screen UI,d)none
819,What are the layouts available in android?,Medium,1,Evaluation-Android,d)all of the above,a)Linear Layout,b)Frame Layout,c)Table Layout,d)all of the above
820,How to access the context in android content provider?,Expert,1,Evaluation-Android,c)A & C,a)Using getContext(),b)Using intent(),c) A & C,d)none
821,What is JNI in android?,Expert,1,Evaluation-Android,d)Java native interface.,a)Java network interface,b)Java interface,c) Image editable tool,d)Java native interface.
822,What does httpclient.execute() returns in android?,Expert,1,Evaluation-Android,b)Http response,a)Http entity,b)Http response,c)Http result,d)None of the above.
823," In android studio, callback that is when activity is no longer visible is",Expert,1,Evaluation-Android,b)onStop,a)onDestroy,b)onStop,c)onRestart,d)onResume
824,A type of layout element that allows its children relative position depiction is,Expert,1,Evaluation-Android,a)RelativeLayout,a)RelativeLayout,b)TextviewLayout,c)LinearLayout,d)ConstraintLayout
825,To create a unit of code within a method used ,Easy,1,Evaluation-Android,b){},a)[],b){},c)(),d)||
826,Required android tools for development is called,Easy,1,Evaluation-Android,d)SDK,a)APK,b)JDK,c)IDE,d)SDK
827,"In Java, blueprint created for an object is called",Medium,1,Evaluation-Android,d)a class,a)an object,b)a function,c)a program,d)a class
828,Android sizes fonts of mobile (currently using app) using unit of measurement,Medium,1,Evaluation-Android,a)SP,a)SP,b)DP,c)CP,d)GP
829, Tab that navigate back to project explorer is,Medium,1,Evaluation-Android,a)Project,a)Project,b)Favorites,c)Build variants,d)Structure
830,Tab that shows completed events logs is,Medium,1,Evaluation-Android,a)event log,a)event log,b)terminal,c)messages,d)TODO
831,"A part of android system, DVM is actually a",Medium,1,Evaluation-Android,b)software,a)server,b)software,c)hardware,d)firmware
832,Android is actually using whole bunch of,Expert,1,Evaluation-Android,c)Java code,a)Python code,b)C code,c)Java code,d)C sharp code
833,Most usable area of android studio is,Expert,1,Evaluation-Android,d)editor,a)menu bar,b)navigation bar,c)tool bar,d)editor
834,Tab that test different version of currently developing app is,Expert,1,Evaluation-Android,c)Build variants,a)Structure,b)Favorites,c)Build variants,d)Project
835,Official IDE released for android development is called,Easy,1,Evaluation-Android,c)Android studio,a)Eclipse,b)Net beans,c)Android studio,d)Java
836,Transformation process of Java into android readable form is called,Medium,1,Evaluation-Android,a)compiling,a)compiling,b)linking,c)debugging,d)testing
837,"To go back to android window, tab used is",Medium,1,Evaluation-Android,c)android,a)terminal,b)TODO,c)android,d)messages
838,Most common environment to run Java programs written for PC only is called,Medium,1,Evaluation-Android,a)JRE,a)JRE,b)JDK,c)IDE,d)SDK
839,Element of palette that holds multiple elements of specific purpose is called,Expert,1,Evaluation-Android,b)containers,a)widgets,b)containers,c)textfields,d)layouts
840,"In android studio, callback that enable system to destroy an activity is",Medium,1,Evaluation-Android,d)onDestroy,a)onRestart,b)onCreate,c)onStop,d)onDestroy
841,Android library that provides access user interfaces' building blocks is,Expert,1,Evaluation-Android,b)android.view,a)android.webkit,b)android.view,c)android.os,d)android.text
842,"In android studio, callback that is called when activity is first time created is",Expert,1,Evaluation-Android,b)onCreate,a)onRestart,b)onCreate,c)onStop,d)onDestroy
843,Package of compiled Java codes with some other resources is called,Expert,1,Evaluation-Android,b)APK,a)IDE,b)APK,c)JDK,d)IDE
844,When classes are divided into many parts to achieve different functionalities is called,Expert,1,Evaluation-Android,d)methods,a)classes,b)objects,c)stubs,d)methods
845,Property that is used for formatting font is,Expert,1,Evaluation-Android,b)typeface,a)Color,b)typeface,c)ImageView,d)Mip Map
846,"In android studio, currently open file location can be shown by",Expert,1,Evaluation-Android,a)navigation bar,a)navigation bar,b)tool bar,c)menu bar,d)editor tab
847,A type of service provided by android that shows messages and alerts to user is,Medium,1,Evaluation-Android,c)Notifications Manager,a)Content Providers,b)View System,c)Notifications Manager,d)Activity Manager
848,"One of application component, that manages application's background services is called",Expert,1,Evaluation-Android,c)Services,a)Activities,b)Broadcast Receivers,c)Services,d)Content Providers
849,"In android studio, callback that is called when activity interaction with user is started is",Expert,1,Evaluation-Android,c)onResume,a)onStart,b)onStop,c)onResume,d)onDestroy
850,Tab that can be used to do any task that can be done from DOS window is,Medium,1,Evaluation-Android,c)terminal,a)TODO,b)messages,c)terminal,d)comments
851,Space outside of widget can be customized using,Medium,1,Evaluation-Android,d)margins,a)padding,b)height,c)weight,d)margins
852,Tab that shows hierarchy of project is,Medium,1,Evaluation-Android,b)Structure,a)Build variants,b)Structure,c)Favorites,d)Project
853,"In android, compiled code is executed by part of android system called",Easy,1,Evaluation-Android,b)DVM,a)DEX,b)DVM,c)JDK,d)API
854,"A part of android studio, that work as a simulator for android devices is called",Medium,1,Evaluation-Android,b)emulator,a)driver,b)emulator,c)stub,d)firmware
855,Code that provide easy way to use all android features is called,Medium,1,Evaluation-Android,a)API,a)API,b)DEX,c)DVM,d)JDK
856,If a button is clicked whose method in Java is not defined then android application will,Expert,1,Evaluation-Android,b)crash,a)do nothing,b)crash,c)show black screen,d)get hang
857,"Android content provider architecture, component that does not resides on data layer is",Expert,1,Evaluation-Android,d)content provider,a)Internet,b)SQLite,c)Files,d)content provider
858,Android calculates pixels density of mobile (currently using app) using unit of measurement,Expert,1,Evaluation-Android,c)DP,a)CP,b)SP,c)DP,d)GP
859,"In android studio, each new activity created must be defined in",Expert,1,Evaluation-Android,d)AndroidManifest.xml,a)res/layout,b)res/values,c)Build.gradle,d)AndroidManifest.xml
860,Android component that controls external elements of file is called,Expert,1,Evaluation-Android,b)resource,a)intent,b)resource,c)view,d)manifest
861,A type of service provided by android that controls application lifespan and activity pile is,Expert,1,Evaluation-Android,a)Activity Manager,a)Activity Manager,b)View System,c)Notifications Manager,d)Content Providers
862,"Activity is needed to be stopped by doing any operation until resumed callback is called, type of callback is",Medium,1,Evaluation-Android,a)onPause,a)onPause,b)onDestroy,c)onResume,d)onRestart
863,One of operating system that cannot be used for android application development is,Easy,1,Evaluation-Android,b)Cooja,a)Eclipse,b)Cooja,c)Netbeans,d)Android studio
864,"In android studio, a service that is started and cannot be stopped even calling activity is destroyed is",Medium,1,Evaluation-Android,d)bindService(),a)startService(),b)onStop(),c)onDestroy(),d)bindService()
865,Android understandable form of code is called,Easy,1,Evaluation-Android,b)DEX,a)JDK,b)DEX,c)DVM,d)API
866,Required Java environment for development is called,Easy,1,Evaluation-Android,a)JDK,a)JDK,b)DEX,c)DVM,d)API
867,Android component that manages appearance and format on screen is called,Easy,1,Evaluation-Android,d)layout,a)fragment,b)intent,c)view,d)layout
868,A method that is used to handle what happens after clicking a button is,Medium,1,Evaluation-Android,c)onClick,a)OnCreate,b)onSelect,c)onClick,d)onDo
869,What is the first phone released that ran the Android OS,Easy,1,Evaluation-Android,b)T- Mobile G1,a)google phone,b)T- Mobile G1,c)Motorola Dorid,d) HTC Hero
870,Which piece of code used in Android is not open source,Easy,1,Evaluation-Android,b)WiFi Driver,a)Keypad driver,b)WiFi Driver,c)Audio Driver,d)power management
871,Which among these are NOT a part of Andriod native libraries,Medium,1,Evaluation-Android,b)Dalvik,a)WebKit,b)Dalvik,c)OpenGL,d)Sqlite
872,Android is based on Linux for the followoing reasons,Easy,1,Evaluation-Android,d)all of the above,a)Security,b)Portability,c)Networking,d)all of the above
873,What operating system is used as the base of Android stack?,Easy,1,Evaluation-Android,a)Linux,a)Linux,b)windows,c)java,d)XML
874,What year was development on the Dalvik virtual machine started ?,Easy,1,Evaluation-Android,b)2005,a)2003,b)2005,c)2007,d)2006
875,Which of these are not one of the three main componenet of the APK,Medium,1,Evaluation-Android,c)Webkit,a)Dalvik,Resources,c)Webkit,d)Libraries
876,The emulator is identical to running a real phone expect when emulating what ? ,Easy,1,Evaluation-Android,c)Sensors,a)Telephone,b)Application,c)Sensors,d)Emulator
877,The R file is a generated file,Expert,1,Evaluation-Android,a)automatically,a)automatically,b)manually,c)Emulated,d)None of the above.
878,An activity can be thought of as corresponding to what?,Expert,1,Evaluation-Android,a)Java class,a)Java class,b)java project,c)java method,d)an object filed
879,"In android studio, currently open file location can be shown by",Easy,1,Evaluation-Android,a)navigation bar,a)navigation bar,b)tool bar,c)menu bar,d)editor tab
880,A class that allows to display messages on logcat windows is,Medium,1,Evaluation-Android,b)Log class,a)Toast Class,b)Log class,c)makeTest class,d)Show class
881,"In android studio, virtual console type tab that is used as command line interface is called",Medium,1,Evaluation-Android,d)ADB logs,a)memory,b)CPU,c)logcat,d)ADB logs
882,"In android studio, tab in which error is shown is called",Medium,1,Evaluation-Android,a)logcat,a)logcat,b)memory,c)ADB logs,d)CPU
883,SendStickyBroadcast(Intent) method is used to show that Intent is,Expert,1,Evaluation-Android,d)sticky,a)prominent,b)prioritized,c)optional,d)sticky
884,"In android studio, tab in which CPU usage of app is shown is called",Expert,1,Evaluation-Android,c)CPU,a)ADB logs,b)memory,c)CPU,d)logcat
885,Android component that works like database,Expert,1,Evaluation-Android,d)Content Providers,a)Services,b)Activities,c)Broadcast Receivers,d)Content Providers
886,A type of layout elements that allows all included elements in order is,Expert,1,Evaluation-Android,c)LinearLayout,a)ConstraintLayout,b)TextviewLayout,c)LinearLayout,d)RelativeLayout
887,Tab that stores history of most visited places is,Expert,1,Evaluation-Android,a)Favorites,a)Favorites,b)Structure,c)Build variants,d)Project
888,"In android emulator mode, left-hand side of smartphone area elements is called",Expert,1,Evaluation-Android,a)palette,a)palette,b)widgets,c)design,d)button
889,Layout or design of an android application is saved in,Easy,1,Evaluation-Android,d).xml file,a).text file,b).java file,c).dex file,d).xml file
890,Dalvik Virtual Machine (DVM) actually uses core features of,Easy,1,Android,c)Linux,a)Windows,b)Mac,c)Linux,d)Contiki
891,A type of service provided by android that allows sharing and publishing of data to other applications is,Easy,1,Android,b)Content Providers,a)View System,b)Content Providers,c)Activity Manager,d)Notifications Manager
892,"Android library that provides access to UI pre-built elements such as buttons, lists, views etc. is",Easy,1,Android,d)android.webkit,a)android.text,b)android.os,c)android.view,d)android.webkit
893,A type of service provided by android that shows messages and alerts to user is,Easy,1,Android,c)Notifications Manager,a)Content Providers,b)View System,c)Notifications Manager,d)Activity Manager
894,A type of service provided by android that controls application lifespan and activity pile is,Easy,1,Android,a)Activity Manager,a)Activity Manager,b)View System,c)Notifications Manager,d)Content Providers
895,BroadcastReceiver's subclass overrides method,Easy,1,Android,d)onReceive(),a)BroadcastReceiver's subclass overrides method,b)onStart(),c)onRestart(),d)onReceive()
896,"On implementing method of onStartCommand(), service must be stopped after task is completed using",Easy,1,Android,c)stopSelf() or stopService(),a)stopSelf(),b)stopService(),c)stopSelf() or stopService(),d)endService()
897,Space between edge to of widget content of widget can be customized using,Easy,1,Android,c)padding,a)margins,b)height,c)padding,d)weight
898,Button option can be choose from palette category,Easy,1,Android,c)widgets,a)textfields,b)containers,c)widgets,d)layouts
899,What is the main difference between set and list in android?,Medium,1,Android,d) B & C,a)Both are same,b)Set can't contain duplicate values,c)List may contain duplicate values,d) B & C
900,Android component that works like database,Medium,1,Android,c)Content Providers,a)Services,b)Activities,c)Content Providers,d)Broadcast Receivers
901,SendStickyBroadcast(Intent) method is used to show that Intent is,Medium,1,Android,a)sticky,a)sticky,b)prioritized,c)None,d)optional
902,Broadcast of device reboot is,Medium,1,Android,d)android.intent.action.REBOOT,a)android.intent.action.CALL,b)android.intent.action.BATTERY_CHANGED,c)None,d)android.intent.action.REBOOT
903,"To generate custom intents in android, method is used is",Medium,1,Android,b)broadcastIntent(),a)broadcastStart(),b)broadcastIntent(),c)broadcastReceive(),d)broadcastCreate()
904,"Android content provider architecture, component that does not resides on data layer is",Medium,1,Android,a)content providers,a)content providers,b)Files,c)SQLite,d)Internet
905,What are important steps to make BroadcastReceiver works for the system broadcasted intents ?,Medium,1,Android,c)Both,a)Registering Broadcast Receiver,b)Creating the Broadcast Receiver,c)Both,d)None
906,"Sticky broadcast containing the charging state, level, and other information about the battery",Medium,1,Android,a)android.intent.action.BATTERY_CHANGED,a)android.intent.action.BATTERY_CHANGED,b)android.intent.action.BOOT_COMPLETED,c)android.intent.action.BATTERY_OKAY,d)android.intent.action.BATTERY_LOW
